time,ITUB4.SA.Open,ITUB4.SA.High,ITUB4.SA.Low,ITUB4.SA.Close,ITUB4.SA.Volume,ITUB4.SA.Adjusted
2024-12-30,28.063636779785156,28.245454788208008,27.936363220214844,27.936363220214844,31215030,26.034517288208008
2024-12-27,28.318180084228516,28.39090919494629,27.9818172454834,27.9818172454834,14969460,26.07687759399414
2024-12-26,28.045454025268555,28.39090919494629,27.990909576416016,28.263635635375977,22600270,26.33951187133789
2024-12-23,28.299999237060547,28.46363639831543,27.954544067382813,28.081817626953125,30510150,26.170068740844727
2024-12-20,28.23636245727539,28.654544830322266,28.23636245727539,28.636362075805664,58456420,26.686861038208008
2024-12-19,28.35454559326172,28.672727584838867,28.100000381469727,28.30908966064453,51735310,26.381868362426758
2024-12-18,28.881818771362305,28.945453643798828,28.063636779785156,28.154544830322266,56468060,26.237844467163086
2024-12-17,28.909090042114258,29.254545211791992,28.727272033691406,28.9818172454834,44123970,27.008800506591797
2024-12-16,29.100000381469727,29.190908432006836,28.827272415161133,28.827272415161133,36324860,26.864776611328125
2024-12-13,29.57272720336914,29.66363525390625,29.136362075805664,29.14545440673828,27182870,27.16129493713379
2024-12-12,30,30.16363525390625,29.42727279663086,29.527271270751953,26679180,27.517118453979492
2024-12-11,30.01818084716797,30.68181800842285,29.68181800842285,30.281818389892578,34937540,28.220300674438477
2024-12-10,29.763635635375977,30.154544830322266,29.727272033691406,29.990909576416016,20823220,27.949195861816406
2024-12-09,29.77272605895996,30.118181228637695,29.77272605895996,29.872726440429688,17790300,27.575952529907227
2024-12-06,30.254545211791992,30.35454559326172,29.709089279174805,29.727272033691406,23530540,27.441682815551758
2024-12-05,29.9818172454834,30.454544067382813,29.818180084228516,30.3454532623291,35871110,28.012331008911133
2024-12-04,29.46363639831543,29.863636016845703,29.418180465698242,29.709089279174805,24381610,27.424898147583008
2024-12-03,29.281818389892578,29.563636779785156,29.254545211791992,29.527271270751953,22677160,27.25705909729004
2024-12-02,29.445453643798828,29.68181800842285,29.09090805053711,29.200000762939453,24295370,26.95494842529297
2024-11-29,29.781818389892578,29.936363220214844,29.254545211791992,29.636362075805664,40506290,27.34295082092285
2024-11-28,30.700000762939453,30.754545211791992,29.66363525390625,29.709089279174805,43013520,27.410051345825195
2024-11-27,31.527271270751953,31.68181800842285,30.654544830322266,30.818180084228516,26035020,28.43331527709961
2024-11-26,31.09090805053711,31.96363639831543,31.063636779785156,31.59090805053711,29383420,29.146240234375
