time,VALE3.SA.Open,VALE3.SA.High,VALE3.SA.Low,VALE3.SA.Close,VALE3.SA.Volume,VALE3.SA.Adjusted
2024-12-30,54.900001525878906,55.189998626708984,54.54999923706055,54.54999923706055,11250900,50.72111511230469
2024-12-27,54.72999954223633,55.08000183105469,54.459999084472656,54.7400016784668,16635300,50.89778137207031
2024-12-26,54.849998474121094,55.400001525878906,54.400001525878906,55.0099983215332,13155800,51.148826599121094
2024-12-23,54.66999816894531,55.22999954223633,54.400001525878906,54.849998474121094,18587900,51.000057220458984
2024-12-20,53.41999816894531,54.619998931884766,53.33000183105469,54.619998931884766,64919500,50.78620147705078
2024-12-19,55.02000045776367,55.16999816894531,53.599998474121094,53.77000045776367,29529900,49.99586868286133
2024-12-18,55.77000045776367,55.869998931884766,54.7599983215332,54.810001373291016,34658200,50.962867736816406
2024-12-17,55.880001068115234,56.400001525878906,55.650001525878906,56.11000061035156,22987600,52.1716194152832
2024-12-16,55.849998474121094,56.540000915527344,55.34000015258789,55.83000183105469,18958500,51.91127395629883
2024-12-13,56.47999954223633,56.709999084472656,55.70000076293945,55.86000061035156,18532800,51.93916702270508
2024-12-12,57.400001525878906,57.68000030517578,56.66999816894531,56.709999084472656,28841800,52.7295036315918
2024-12-11,59.5,59.59000015258789,58.45000076293945,58.84000015258789,30138500,54.22600555419922
2024-12-10,59.7400016784668,59.939998626708984,59.290000915527344,59.77000045776367,13089300,55.08308029174805
2024-12-09,58.5,60.189998626708984,58.369998931884766,59.83000183105469,40440600,55.13837432861328
2024-12-06,57.470001220703125,57.65999984741211,56.75,56.810001373291016,17897900,52.355194091796875
2024-12-05,57.459999084472656,57.79999923706055,56.869998931884766,57.79999923706055,14160000,53.26755905151367
2024-12-04,58.400001525878906,58.47999954223633,56.959999084472656,57.33000183105469,25109200,52.834415435791016
2024-12-03,59.29999923706055,59.36000061035156,58.470001220703125,58.470001220703125,15957500,53.8850212097168
2024-12-02,58.849998474121094,59.380001068115234,58.689998626708984,58.91999816894531,18972100,54.29973220825195
2024-11-29,58.25,59.209999084472656,58.150001525878906,58.779998779296875,31023600,54.17071533203125
2024-11-28,57.900001525878906,58.79999923706055,57.27000045776367,57.529998779296875,20467000,53.01873016357422
2024-11-27,57.869998931884766,58.41999816894531,57.599998474121094,58.130001068115234,22121200,53.57168197631836
2024-11-26,58.290000915527344,58.4900016784668,57.150001525878906,57.43000030517578,21406600,52.92657470703125
2024-11-25,58.18000030517578,58.560001373291016,58.119998931884766,58.16999816894531,17444500,53.608543395996094
2024-11-22,57.439998626708984,58.27000045776367,57.25,58.18000030517578,12590500,53.61776351928711
2024-11-21,57.5,57.79999923706055,57.209999084472656,57.619998931884766,15428500,53.1016731262207
2024-11-19,57.79999923706055,57.97999954223633,57.459999084472656,57.68000030517578,12902100,53.15696716308594
2024-11-18,57.09000015258789,57.779998779296875,56.970001220703125,57.54999923706055,14300000,53.03716278076172
2024-11-14,57.15999984741211,57.34000015258789,56.84000015258789,56.84000015258789,17967600,52.38283920288086
2024-11-13,57.31999969482422,57.720001220703125,57.11000061035156,57.15999984741211,20354900,52.6777458190918
2024-11-12,58.58000183105469,58.59000015258789,57.20000076293945,57.31999969482422,26967600,52.825199127197266
2024-11-11,59.75,59.869998931884766,58.650001525878906,58.650001525878906,24483700,54.050907135009766
2024-11-08,61.9900016784668,62.04999923706055,59.70000076293945,60.630001068115234,48764700,55.875640869140625
2024-11-07,62.02000045776367,63.9900016784668,62,63.560001373291016,38173300,58.57588195800781
2024-11-06,61.29999923706055,61.630001068115234,60.7400016784668,61.41999816894531,19726800,56.60369110107422
2024-11-05,62.95000076293945,63.11000061035156,61.959999084472656,62.119998931884766,16368800,57.248802185058594
2024-11-04,62.400001525878906,62.869998931884766,62.119998931884766,62.66999816894531,12360000,57.755672454833984
2024-11-01,62.13999938964844,62.439998626708984,61.790000915527344,62.029998779296875,15236400,57.16585922241211
2024-10-31,62.34000015258789,62.59000015258789,61.79999923706055,62.060001373291016,16553300,57.193511962890625
