time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2024-05-17,128280,128464,127696,128151,10262600,128151
2024-05-16,128029,128965,127922,128284,9852200,128284
2024-05-15,128514,128646,127029,128028,10855600,128028
2024-05-14,128155,128965,127962,128515,11886800,128515
2024-05-13,127600,128669,127599,128155,8917300,128155
2024-05-10,128188,129022,127467,127600,12574200,127600
2024-05-09,129468,129468,127376,128188,13369000,128188
2024-05-08,129210,129564,128048,129481,9788900,129481
2024-05-07,128466,129745,128464,129210,10177500,129210
2024-05-06,128506,129181,128294,128466,8779100,128466
2024-05-03,127130,128787,127130,128509,12799200,128509
2024-05-02,125926,127670,125926,127122,11547800,127122
2024-04-30,127352,127352,125856,125924,10889600,125924
2024-04-29,126527,127352,126467,127352,8385100,127352
2024-04-26,124651,126826,124651,126526,8900000,126526
2024-04-25,124718,124732,123703,124646,10093100,124646
2024-04-24,125149,125473,124556,124741,10526300,124741
2024-04-23,125572,125826,124310,125148,11257800,125148
2024-04-22,125124,126081,124633,125573,10264100,125573
2024-04-19,124197,125509,124056,125124,13604100,125124
2024-04-18,124171,125140,123397,124196,10662400,124196
2024-04-17,124389,125301,123642,124171,11370900,124171
2024-04-16,125316,125316,123756,124389,14009800,124389
2024-04-15,125946,126250,125034,125334,13504500,125334
2024-04-12,127396,127640,125635,125946,10246600,125946
2024-04-11,128051,128051,127069,127396,8882900,127396
2024-04-10,129872,129872,127732,128054,10451800,128054
2024-04-09,128858,129956,128826,129890,8489700,129890
2024-04-08,126796,129178,126796,128857,8128300,128857
2024-04-05,127422,127432,126394,126795,9101300,126795
2024-04-04,127313,129627,127178,127428,13229200,127428
2024-04-03,127546,127694,126181,127318,11032700,127318
2024-04-02,126990,127654,126669,127549,9073600,127549
2024-04-01,128106,128659,126772,126990,9372600,126990
2024-03-28,127689,128364,127270,128106,9943400,128106
2024-03-27,126863,127756,126223,127691,9918200,127691
2024-03-26,126931,127193,126591,126863,9435700,126863
2024-03-25,127027,127224,126750,126931,8060500,126931
2024-03-22,128159,128159,126879,127027,9367800,127027
2024-03-21,129125,129556,128093,128159,9570800,128159
2024-03-20,127534,129210,127349,129125,10819300,129125
2024-03-19,126955,128000,126955,127529,11184800,127529
2024-03-18,126758,127540,126272,126954,10512100,126954
2024-03-15,127682,127957,126502,126742,14992400,126742
2024-03-14,127992,128256,127192,127690,9292600,127690
2024-03-13,127668,128530,127439,128006,8837200,128006
2024-03-12,126124,128039,126121,127668,9483700,127668
2024-03-11,127068,127068,126065,126124,8899100,126124
